trait,access,author,category,consortium,id,mr,ncase,ncontrol,note,nsnp,pmid,population,priority,sample_size,sd,unit,sex,subcategory,year,EFO,EFO_id,match
X-12007,public,Shin,Metabolites,NA,561,1,NA,NA,NA,2540762,24816252,European,1,1362,0.217962618,log10 units,Males and females,Unknown metabolite,2014,,,
X-12013,public,Shin,Metabolites,NA,562,1,NA,NA,NA,2545570,24816252,European,1,1948,0.262005008,log10 units,Males and females,Unknown metabolite,2014,,,
Gamma-glutamylmethionine*,public,Shin,Metabolites,NA,563,1,NA,NA,NA,2545674,24816252,European,1,2240,0.123079437,log10 units,Males and females,Peptide,2014,,,
Gamma-glutamylthreonine*,public,Shin,Metabolites,NA,564,1,NA,NA,NA,2545368,24816252,European,1,4016,0.152773392,log10 units,Males and females,Peptide,2014,,,
X-12029,public,Shin,Metabolites,NA,565,1,NA,NA,NA,2546069,24816252,European,1,7564,0.099027347,log10 units,Males and females,Unknown metabolite,2014,,,
X-12038,public,Shin,Metabolites,NA,566,1,NA,NA,NA,2545686,24816252,European,1,7758,0.116826922,log10 units,Males and females,Unknown metabolite,2014,,,
X-12039,public,Shin,Metabolites,NA,567,1,NA,NA,NA,2544420,24816252,European,1,5461,0.342771608,log10 units,Males and females,Unknown metabolite,2014,,,
X-12040,public,Shin,Metabolites,NA,568,1,NA,NA,NA,2538751,24816252,European,1,559,0.230535634,log10 units,Males and females,Unknown metabolite,2014,,,
X-12056,public,Shin,Metabolites,NA,569,1,NA,NA,NA,2545359,24816252,European,1,4130,0.296947608,log10 units,Males and females,Unknown metabolite,2014,,,
X-12063,public,Shin,Metabolites,NA,570,1,NA,NA,NA,2545798,24816252,European,1,7197,0.268055068,log10 units,Males and females,Unknown metabolite,2014,,,
Gamma-tocopherol,public,Shin,Metabolites,NA,571,1,NA,NA,NA,2544979,24816252,European,1,6226,0.239411006,log10 units,Males and females,Cofactors and vitamins,2014,,,
Gamma-glutamylphenylalanine,public,Shin,Metabolites,NA,572,1,NA,NA,NA,2545841,24816252,European,1,7753,0.098452965,log10 units,Males and females,Peptide,2014,,,
Isobutyrylcarnitine,public,Shin,Metabolites,NA,573,1,NA,NA,NA,2545669,24816252,European,1,7812,0.199149927,log10 units,Males and females,Amino acid,2014,,,
Pseudouridine,public,Shin,Metabolites,NA,574,1,NA,NA,NA,2545533,24816252,European,1,7785,0.085812761,log10 units,Males and females,Nucleotide,2014,,,
Valerate,public,Shin,Metabolites,NA,575,1,NA,NA,NA,2545199,24816252,European,1,4102,0.132752731,log10 units,Males and females,Lipid,2014,,,
Palmitoleate (16:1n7),public,Shin,Metabolites,NA,576,1,NA,NA,NA,2545657,24816252,European,1,7776,0.20249679,log10 units,Males and females,Fatty acid,2014,,,
Alpha-ketoglutarate,public,Shin,Metabolites,NA,577,1,NA,NA,NA,2544385,24816252,European,1,6130,0.190580319,log10 units,Males and females,Energy,2014,,,
Erythronate*,public,Shin,Metabolites,NA,578,1,NA,NA,NA,2545588,24816252,European,1,7752,0.109837973,log10 units,Males and females,Carbohydrate,2014,,,
Lathosterol,public,Shin,Metabolites,NA,579,1,NA,NA,NA,2544172,24816252,European,1,5457,0.217830508,log10 units,Males and females,Lipid,2014,,,
X-12092,public,Shin,Metabolites,NA,580,1,NA,NA,NA,2545734,24816252,European,1,7500,0.260076607,log10 units,Males and females,Unknown metabolite,2014,,,
X-12093,public,Shin,Metabolites,NA,581,1,NA,NA,NA,2545103,24816252,European,1,2854,0.216534799,log10 units,Males and females,Unknown metabolite,2014,,,
X-12094,public,Shin,Metabolites,NA,582,1,NA,NA,NA,2545632,24816252,European,1,7467,0.19342534,log10 units,Males and females,Unknown metabolite,2014,,,
X-12095--N1-methyl-3-pyridone-4-carboxamide,public,Shin,Metabolites,NA,583,1,NA,NA,NA,2545785,24816252,European,1,7711,0.163867472,log10 units,Males and females,Nucleotide,2014,,,
X-12100--hydroxytryptophan*,public,Shin,Metabolites,NA,584,1,NA,NA,NA,2545929,24816252,European,1,7499,0.119227445,log10 units,Males and females,Amino acid,2014,,,
X-12116,public,Shin,Metabolites,NA,585,1,NA,NA,NA,2544669,24816252,European,1,3039,0.215644494,log10 units,Males and females,Unknown metabolite,2014,,,
Eicosenoate (20:1n9 or 11),public,Shin,Metabolites,NA,586,1,NA,NA,NA,2545661,24816252,European,1,7799,0.212089391,log10 units,Males and females,Fatty acid,2014,,,
X-12188,public,Shin,Metabolites,NA,587,1,NA,NA,NA,2545176,24816252,European,1,832,0.215367299,log10 units,Males and females,Unknown metabolite,2014,,,
X-12189,public,Shin,Metabolites,NA,588,1,NA,NA,NA,2537451,24816252,European,1,481,0.153256999,log10 units,Males and females,Unknown metabolite,2014,,,
X-12206,public,Shin,Metabolites,NA,589,1,NA,NA,NA,2545821,24816252,European,1,2795,0.126754039,log10 units,Males and females,Unknown metabolite,2014,,,
X-12212,public,Shin,Metabolites,NA,590,1,NA,NA,NA,2545160,24816252,European,1,4566,0.286169091,log10 units,Males and females,Unknown metabolite,2014,,,
X-12216,public,Shin,Metabolites,NA,591,1,NA,NA,NA,2545350,24816252,European,1,5369,0.213913154,log10 units,Males and females,Unknown metabolite,2014,,,
X-12217,public,Shin,Metabolites,NA,592,1,NA,NA,NA,2545347,24816252,European,1,6469,0.233939268,log10 units,Males and females,Unknown metabolite,2014,,,
X-12230,public,Shin,Metabolites,NA,593,1,NA,NA,NA,2545580,24816252,European,1,5649,0.277817567,log10 units,Males and females,Unknown metabolite,2014,,,
X-12231,public,Shin,Metabolites,NA,594,1,NA,NA,NA,2545541,24816252,European,1,5111,0.245740604,log10 units,Males and females,Unknown metabolite,2014,,,
X-12236,public,Shin,Metabolites,NA,595,1,NA,NA,NA,2543269,24816252,European,1,1924,0.232233959,log10 units,Males and females,Unknown metabolite,2014,,,
X-12244--N-acetylcarnosine,public,Shin,Metabolites,NA,596,1,NA,NA,NA,2545599,24816252,European,1,6608,0.132246096,log10 units,Males and females,Peptide,2014,,,
X-12253,public,Shin,Metabolites,NA,597,1,NA,NA,NA,2545556,24816252,European,1,6004,0.292372784,log10 units,Males and females,Unknown metabolite,2014,,,
X-12261,public,Shin,Metabolites,NA,598,1,NA,NA,NA,2545089,24816252,European,1,1050,0.23348272,log10 units,Males and females,Unknown metabolite,2014,,,
X-12329,public,Shin,Metabolites,NA,599,1,NA,NA,NA,2534362,24816252,European,1,867,0.266626044,log10 units,Males and females,Unknown metabolite,2014,,,
X-10346,public,Shin,Metabolites,NA,600,1,NA,NA,NA,2544806,24816252,European,1,4207,0.364762625,log10 units,Males and females,Unknown metabolite,2014,,,
ADpSGEGDFXAEGGGVR*,public,Shin,Metabolites,NA,601,1,NA,NA,NA,2545660,24816252,European,1,3939,0.287511009,log10 units,Males and females,Peptide,2014,,,
1-eicosatrienoylglycerophosphocholine*,public,Shin,Metabolites,NA,602,1,NA,NA,NA,2545640,24816252,European,1,7809,0.177488726,log10 units,Males and females,Lipid,2014,,,
1-docosahexaenoylglycerophosphocholine*,public,Shin,Metabolites,NA,603,1,NA,NA,NA,2545492,24816252,European,1,7798,0.184271038,log10 units,Males and females,Lipid,2014,,,
X-12405,public,Shin,Metabolites,NA,604,1,NA,NA,NA,2546056,24816252,European,1,6676,0.19392981,log10 units,Males and females,Unknown metabolite,2014,,,
X-12407,public,Shin,Metabolites,NA,605,1,NA,NA,NA,2543481,24816252,European,1,2814,0.269117868,log10 units,Males and females,Unknown metabolite,2014,,,
X-12428,public,Shin,Metabolites,NA,606,1,NA,NA,NA,2544499,24816252,European,1,1439,0.208380627,log10 units,Males and females,Unknown metabolite,2014,,,
1-eicosadienoylglycerophosphocholine*,public,Shin,Metabolites,NA,607,1,NA,NA,NA,2545861,24816252,European,1,6892,0.204645175,log10 units,Males and females,Lipid,2014,,,
X-12435,public,Shin,Metabolites,NA,608,1,NA,NA,NA,2539159,24816252,European,1,231,0.206392121,log10 units,Males and females,Unknown metabolite,2014,,,
X-12441--12-hydroxyeicosatetraenoate (12-HETE),public,Shin,Metabolites,NA,609,1,NA,NA,NA,2545695,24816252,European,1,2761,0.389114518,log10 units,Males and females,Lipid,2014,,,
"X-12442--5,8-tetradecadienoate",public,Shin,Metabolites,NA,610,1,NA,NA,NA,2545631,24816252,European,1,7780,0.225771658,log10 units,Males and females,Lipid,2014,,,
X-12443,public,Shin,Metabolites,NA,611,1,NA,NA,NA,2544471,24816252,European,1,5357,0.38297026,log10 units,Males and females,Unknown metabolite,2014,,,
X-12450,public,Shin,Metabolites,NA,612,1,NA,NA,NA,2545740,24816252,European,1,6432,0.167430297,log10 units,Males and females,Unknown metabolite,2014,,,
X-12456,public,Shin,Metabolites,NA,613,1,NA,NA,NA,2545624,24816252,European,1,4774,0.208475935,log10 units,Males and females,Unknown metabolite,2014,,,
X-12465,public,Shin,Metabolites,NA,614,1,NA,NA,NA,2545306,24816252,European,1,5883,0.229844251,log10 units,Males and females,Unknown metabolite,2014,,,
Octanoylcarnitine,public,Shin,Metabolites,NA,615,1,NA,NA,NA,2545666,24816252,European,1,7790,0.206669123,log10 units,Males and females,Lipid,2014,,,
Alpha-hydroxyisovalerate,public,Shin,Metabolites,NA,616,1,NA,NA,NA,2545440,24816252,European,1,7668,0.186457944,log10 units,Males and females,Amino acid,2014,,,
N-acetylthreonine,public,Shin,Metabolites,NA,617,1,NA,NA,NA,2545129,24816252,European,1,6909,0.123266011,log10 units,Males and females,Amino acid,2014,,,
Decanoylcarnitine,public,Shin,Metabolites,NA,618,1,NA,NA,NA,2545676,24816252,European,1,7766,0.222402961,log10 units,Males and females,Lipid,2014,,,
1-palmitoylglycerophosphocholine,public,Shin,Metabolites,NA,619,1,NA,NA,NA,2545684,24816252,European,1,7803,0.103776871,log10 units,Males and females,Lipid,2014,,,
1-heptadecanoylglycerophosphocholine,public,Shin,Metabolites,NA,620,1,NA,NA,NA,2545876,24816252,European,1,7422,0.230438104,log10 units,Males and females,Lipid,2014,,,
1-oleoylglycerophosphocholine,public,Shin,Metabolites,NA,621,1,NA,NA,NA,2545676,24816252,European,1,7812,0.152034733,log10 units,Males and females,Lipid,2014,,,
1-stearoylglycerophosphocholine,public,Shin,Metabolites,NA,622,1,NA,NA,NA,2545648,24816252,European,1,7817,0.230572768,log10 units,Males and females,Lipid,2014,,,
5-dodecenoate (12:1n7),public,Shin,Metabolites,NA,623,1,NA,NA,NA,2545535,24816252,European,1,7770,0.219860295,log10 units,Males and females,Fatty acid,2014,,,
Stearidonate (18:4n3),public,Shin,Metabolites,NA,624,1,NA,NA,NA,2545635,24816252,European,1,7775,0.21577449,log10 units,Males and females,Fatty acid,2014,,,
10-heptadecenoate (17:1n7),public,Shin,Metabolites,NA,625,1,NA,NA,NA,2545657,24816252,European,1,7795,0.18712357,log10 units,Males and females,Fatty acid,2014,,,
10-nonadecenoate (19:1n9),public,Shin,Metabolites,NA,626,1,NA,NA,NA,2545680,24816252,European,1,7789,0.199102227,log10 units,Males and females,Fatty acid,2014,,,
Epiandrosterone sulfate,public,Shin,Metabolites,NA,627,1,NA,NA,NA,2545674,24816252,European,1,7769,0.334202631,log10 units,Males and females,Lipid,2014,,,
Linolenate [alpha or gamma; (18:3n3 or 6)],public,Shin,Metabolites,NA,628,1,NA,NA,NA,2545661,24816252,European,1,7786,0.179432974,log10 units,Males and females,Fatty acid,2014,,,
X-12510--2-aminooctanoic acid,public,Shin,Metabolites,NA,629,1,NA,NA,NA,2545484,24816252,European,1,7566,0.198989583,log10 units,Males and females,Amino acid,2014,,,
X-12524,public,Shin,Metabolites,NA,630,1,NA,NA,NA,2545661,24816252,European,1,7809,0.080081091,log10 units,Males and females,Unknown metabolite,2014,,,
"Bilirubin (E,Z or Z,E)*",public,Shin,Metabolites,NA,631,1,NA,NA,NA,2545706,24816252,European,1,5295,0.240086399,log10 units,Males and females,Cofactors and vitamins,2014,,,
X-12544,public,Shin,Metabolites,NA,632,1,NA,NA,NA,2545544,24816252,European,1,5893,0.355948636,log10 units,Males and females,Unknown metabolite,2014,,,
X-12556,public,Shin,Metabolites,NA,633,1,NA,NA,NA,2545472,24816252,European,1,7483,0.142262107,log10 units,Males and females,Unknown metabolite,2014,,,
1-arachidonoylglycerophosphoinositol*,public,Shin,Metabolites,NA,634,1,NA,NA,NA,2545547,24816252,European,1,7797,0.154180928,log10 units,Males and females,Lipid,2014,,,
X-12627,public,Shin,Metabolites,NA,635,1,NA,NA,NA,2545501,24816252,European,1,7419,0.223134693,log10 units,Males and females,Unknown metabolite,2014,,,
X-12644,public,Shin,Metabolites,NA,636,1,NA,NA,NA,2545564,24816252,European,1,7795,0.166078534,log10 units,Males and females,Unknown metabolite,2014,,,
X-12645,public,Shin,Metabolites,NA,637,1,NA,NA,NA,2546263,24816252,European,1,5254,0.197797083,log10 units,Males and females,Unknown metabolite,2014,,,
Asparagine,public,Shin,Metabolites,NA,638,1,NA,NA,NA,2545507,24816252,European,1,7761,0.113975025,log10 units,Males and females,Amino acid,2014,,,
X-12680,public,Shin,Metabolites,NA,639,1,NA,NA,NA,2545909,24816252,European,1,2311,0.14570813,log10 units,Males and females,Unknown metabolite,2014,,,
X-12696,public,Shin,Metabolites,NA,640,1,NA,NA,NA,2545674,24816252,European,1,7409,0.139303085,log10 units,Males and females,Unknown metabolite,2014,,,
X-12704,public,Shin,Metabolites,NA,641,1,NA,NA,NA,2544414,24816252,European,1,1813,0.256754911,log10 units,Males and females,Unknown metabolite,2014,,,
X-12712,public,Shin,Metabolites,NA,642,1,NA,NA,NA,2531353,24816252,European,1,260,0.132707494,log10 units,Males and females,Unknown metabolite,2014,,,
X-12717,public,Shin,Metabolites,NA,643,1,NA,NA,NA,2543754,24816252,European,1,1632,0.310350484,log10 units,Males and females,Unknown metabolite,2014,,,
X-12719,public,Shin,Metabolites,NA,644,1,NA,NA,NA,2543815,24816252,European,1,1539,0.252183088,log10 units,Males and females,Unknown metabolite,2014,,,
X-12726,public,Shin,Metabolites,NA,645,1,NA,NA,NA,2541060,24816252,European,1,5495,0.143236831,log10 units,Males and females,Unknown metabolite,2014,,,
X-12728,public,Shin,Metabolites,NA,646,1,NA,NA,NA,2542406,24816252,European,1,537,0.40908897,log10 units,Males and females,Unknown metabolite,2014,,,
X-12729,public,Shin,Metabolites,NA,647,1,NA,NA,NA,2545035,24816252,European,1,1753,0.285952267,log10 units,Males and females,Unknown metabolite,2014,,,
X-12734,public,Shin,Metabolites,NA,648,1,NA,NA,NA,2544533,24816252,European,1,5616,0.385623113,log10 units,Males and females,Unknown metabolite,2014,,,
X-12740,public,Shin,Metabolites,NA,649,1,NA,NA,NA,2543294,24816252,European,1,3731,0.361006016,log10 units,Males and females,Unknown metabolite,2014,,,
X-12749,public,Shin,Metabolites,NA,650,1,NA,NA,NA,2545560,24816252,European,1,7178,0.108288458,log10 units,Males and females,Unknown metabolite,2014,,,
Stachydrine,public,Shin,Metabolites,NA,651,1,NA,NA,NA,2545667,24816252,European,1,6745,0.510388355,log10 units,Males and females,Xenobiotics,2014,,,
Isovalerylcarnitine,public,Shin,Metabolites,NA,652,1,NA,NA,NA,2545606,24816252,European,1,7789,0.168762595,log10 units,Males and females,Amino acid,2014,,,
Stearoylcarnitine,public,Shin,Metabolites,NA,653,1,NA,NA,NA,2546184,24816252,European,1,7183,0.175156847,log10 units,Males and females,Lipid,2014,,,
1-stearoylglycerophosphoethanolamine,public,Shin,Metabolites,NA,654,1,NA,NA,NA,2545759,24816252,European,1,7369,0.191937162,log10 units,Males and females,Lipid,2014,,,
1-linoleoylglycerophosphocholine,public,Shin,Metabolites,NA,655,1,NA,NA,NA,2545647,24816252,European,1,7795,0.130898032,log10 units,Males and females,Lipid,2014,,,
"Bradykinin, des-arg(9)",public,Shin,Metabolites,NA,656,1,NA,NA,NA,2545567,24816252,European,1,4570,0.46106286,log10 units,Males and females,Peptide,2014,,,
X-12771,public,Shin,Metabolites,NA,657,1,NA,NA,NA,2546141,24816252,European,1,4734,0.20366819,log10 units,Males and females,Unknown metabolite,2014,,,
X-12776,public,Shin,Metabolites,NA,658,1,NA,NA,NA,2545673,24816252,European,1,7764,0.057901776,log10 units,Males and females,Unknown metabolite,2014,,,
Gamma-glutamylisoleucine*,public,Shin,Metabolites,NA,659,1,NA,NA,NA,2544669,24816252,European,1,5522,0.143265609,log10 units,Males and females,Peptide,2014,,,
X-12786,public,Shin,Metabolites,NA,660,1,NA,NA,NA,2545668,24816252,European,1,6566,0.21994853,log10 units,Males and females,Unknown metabolite,2014,,,
X-12798,public,Shin,Metabolites,NA,661,1,NA,NA,NA,2545601,24816252,European,1,7552,0.168538773,log10 units,Males and females,Unknown metabolite,2014,,,
X-12816,public,Shin,Metabolites,NA,662,1,NA,NA,NA,2544861,24816252,European,1,4524,0.349764198,log10 units,Males and females,Unknown metabolite,2014,,,
X-12830,public,Shin,Metabolites,NA,663,1,NA,NA,NA,2545495,24816252,European,1,3415,0.230092953,log10 units,Males and females,Unknown metabolite,2014,,,
X-12833,public,Shin,Metabolites,NA,664,1,NA,NA,NA,2537704,24816252,European,1,243,0.247045379,log10 units,Males and females,Unknown metabolite,2014,,,
X-12844,public,Shin,Metabolites,NA,665,1,NA,NA,NA,2545671,24816252,European,1,7768,0.170956424,log10 units,Males and females,Unknown metabolite,2014,,,
X-12847,public,Shin,Metabolites,NA,666,1,NA,NA,NA,2545514,24816252,European,1,4036,0.247548157,log10 units,Males and females,Unknown metabolite,2014,,,
X-12850,public,Shin,Metabolites,NA,667,1,NA,NA,NA,2545952,24816252,European,1,6251,0.274222197,log10 units,Males and females,Unknown metabolite,2014,,,
Laurylcarnitine,public,Shin,Metabolites,NA,668,1,NA,NA,NA,2545632,24816252,European,1,5170,0.228908688,log10 units,Males and females,Lipid,2014,,,
X-12851,public,Shin,Metabolites,NA,669,1,NA,NA,NA,2543767,24816252,European,1,4808,0.405212696,log10 units,Males and females,Unknown metabolite,2014,,,
X-12855,public,Shin,Metabolites,NA,670,1,NA,NA,NA,2544296,24816252,European,1,5120,0.189913364,log10 units,Males and females,Unknown metabolite,2014,,,
X-12990--docosapentaenoic acid (n6-DPA),public,Shin,Metabolites,NA,671,1,NA,NA,NA,2545878,24816252,European,1,2581,0.179563469,log10 units,Males and females,Fatty acid,2014,,,
Isovalerate,public,Shin,Metabolites,NA,672,1,NA,NA,NA,2545504,24816252,European,1,7080,0.218958713,log10 units,Males and females,Lipid,2014,,,
X-13069,public,Shin,Metabolites,NA,673,1,NA,NA,NA,2545935,24816252,European,1,6770,0.216853745,log10 units,Males and females,Unknown metabolite,2014,,,
X-13183--stearamide,public,Shin,Metabolites,NA,674,1,NA,NA,NA,2545619,24816252,European,1,2503,0.207729363,log10 units,Males and females,Lipid,2014,,,
X-13215,public,Shin,Metabolites,NA,675,1,NA,NA,NA,2544540,24816252,European,1,6305,0.112914739,log10 units,Males and females,Unknown metabolite,2014,,,
7-methylguanine,public,Shin,Metabolites,NA,676,1,NA,NA,NA,2545616,24816252,European,1,6091,0.16261037,log10 units,Males and females,Nucleotide,2014,,,
Phenylacetylglutamine,public,Shin,Metabolites,NA,677,1,NA,NA,NA,2545653,24816252,European,1,7812,0.273464436,log10 units,Males and females,Amino acid,2014,,,
Pro-hydroxy-pro,public,Shin,Metabolites,NA,678,1,NA,NA,NA,2545647,24816252,European,1,7787,0.156705177,log10 units,Males and females,Peptide,2014,,,
"N2,N2-dimethylguanosine",public,Shin,Metabolites,NA,679,1,NA,NA,NA,2543696,24816252,European,1,5228,0.098809577,log10 units,Males and females,Nucleotide,2014,,,
Cysteine-glutathione disulfide,public,Shin,Metabolites,NA,680,1,NA,NA,NA,2545457,24816252,European,1,1997,0.204574932,log10 units,Males and females,Amino acid,2014,,,
Oleoylcarnitine,public,Shin,Metabolites,NA,681,1,NA,NA,NA,2545666,24816252,European,1,7708,0.195537965,log10 units,Males and females,Lipid,2014,,,
1-arachidonoylglycerophosphoethanolamine*,public,Shin,Metabolites,NA,682,1,NA,NA,NA,2545686,24816252,European,1,7798,0.146572511,log10 units,Males and females,Lipid,2014,,,
X-13429,public,Shin,Metabolites,NA,683,1,NA,NA,NA,2545710,24816252,European,1,6344,0.309823163,log10 units,Males and females,Unknown metabolite,2014,,,
X-13431--nonanoylcarnitine*,public,Shin,Metabolites,NA,684,1,NA,NA,NA,2545684,24816252,European,1,6591,0.236917534,log10 units,Males and females,Lipid,2014,,,
X-13435,public,Shin,Metabolites,NA,685,1,NA,NA,NA,2545583,24816252,European,1,6970,0.165105027,log10 units,Males and females,Unknown metabolite,2014,,,
X-13477,public,Shin,Metabolites,NA,686,1,NA,NA,NA,2545812,24816252,European,1,5952,0.149678871,log10 units,Males and females,Unknown metabolite,2014,,,
2-palmitoylglycerophosphocholine*,public,Shin,Metabolites,NA,687,1,NA,NA,NA,2545626,24816252,European,1,7695,0.155364168,log10 units,Males and females,Lipid,2014,,,
2-oleoylglycerophosphocholine*,public,Shin,Metabolites,NA,688,1,NA,NA,NA,2545642,24816252,European,1,7524,0.158826329,log10 units,Males and females,Lipid,2014,,,
2-stearoylglycerophosphocholine*,public,Shin,Metabolites,NA,689,1,NA,NA,NA,2545681,24816252,European,1,7730,0.224208897,log10 units,Males and females,Lipid,2014,,,
2-linoleoylglycerophosphocholine*,public,Shin,Metabolites,NA,690,1,NA,NA,NA,2545443,24816252,European,1,6894,0.163056081,log10 units,Males and females,Lipid,2014,,,
X-13496,public,Shin,Metabolites,NA,691,1,NA,NA,NA,2545785,24816252,European,1,7656,0.097641631,log10 units,Males and females,Unknown metabolite,2014,,,
1-palmitoylglycerophosphoinositol*,public,Shin,Metabolites,NA,692,1,NA,NA,NA,2545375,24816252,European,1,6282,0.188879986,log10 units,Males and females,Lipid,2014,,,
X-13548,public,Shin,Metabolites,NA,693,1,NA,NA,NA,2545505,24816252,European,1,6022,0.097346766,log10 units,Males and females,Unknown metabolite,2014,,,
X-13549,public,Shin,Metabolites,NA,694,1,NA,NA,NA,2545363,24816252,European,1,7330,0.094884445,log10 units,Males and females,Unknown metabolite,2014,,,
X-13553,public,Shin,Metabolites,NA,695,1,NA,NA,NA,2544863,24816252,European,1,3085,0.125693218,log10 units,Males and females,Unknown metabolite,2014,,,
X-13619,public,Shin,Metabolites,NA,696,1,NA,NA,NA,2545572,24816252,European,1,7791,0.097268963,log10 units,Males and females,Unknown metabolite,2014,,,
2-methylbutyroylcarnitine,public,Shin,Metabolites,NA,697,1,NA,NA,NA,2545908,24816252,European,1,7420,0.1351404,log10 units,Males and females,Amino acid,2014,,,
Hydroxyisovaleroyl carnitine,public,Shin,Metabolites,NA,698,1,NA,NA,NA,2545672,24816252,European,1,5588,0.171426603,log10 units,Males and females,Amino acid,2014,,,
Glutaroyl carnitine,public,Shin,Metabolites,NA,699,1,NA,NA,NA,2545220,24816252,European,1,7701,0.13188604,log10 units,Males and females,Amino acid,2014,,,
X-13658,public,Shin,Metabolites,NA,700,1,NA,NA,NA,2542649,24816252,European,1,1412,0.256007384,log10 units,Males and females,Unknown metabolite,2014,,,
X-13671,public,Shin,Metabolites,NA,701,1,NA,NA,NA,2545483,24816252,European,1,7311,0.144843302,log10 units,Males and females,Unknown metabolite,2014,,,
2-tetradecenoyl carnitine,public,Shin,Metabolites,NA,702,1,NA,NA,NA,2545978,24816252,European,1,6998,0.240602884,log10 units,Males and females,Lipid,2014,,,
4-hydroxyhippurate,public,Shin,Metabolites,NA,703,1,NA,NA,NA,2543571,24816252,European,1,4368,0.200316215,log10 units,Males and females,Xenobiotics,2014,,,
X-13741,public,Shin,Metabolites,NA,704,1,NA,NA,NA,2544479,24816252,European,1,5325,0.335061171,log10 units,Males and females,Unknown metabolite,2014,,,
1-myristoylglycerophosphocholine,public,Shin,Metabolites,NA,705,1,NA,NA,NA,2545688,24816252,European,1,7812,0.190930361,log10 units,Males and females,Lipid,2014,,,
1-oleoylglycerophosphoethanolamine,public,Shin,Metabolites,NA,706,1,NA,NA,NA,2545691,24816252,European,1,7749,0.188670424,log10 units,Males and females,Lipid,2014,,,
1-palmitoylglycerophosphoethanolamine,public,Shin,Metabolites,NA,707,1,NA,NA,NA,2545788,24816252,European,1,7763,0.154144173,log10 units,Males and females,Lipid,2014,,,
3-(3-hydroxyphenyl)propionate,public,Shin,Metabolites,NA,708,1,NA,NA,NA,2541405,24816252,European,1,1163,0.236313654,log10 units,Males and females,Amino acid,2014,,,
Tetradecanedioate,public,Shin,Metabolites,NA,709,1,NA,NA,NA,2543511,24816252,European,1,6046,0.236923278,log10 units,Males and females,Lipid,2014,,,
2-hydroxypalmitate,public,Shin,Metabolites,NA,710,1,NA,NA,NA,2545650,24816252,European,1,7797,0.113273161,log10 units,Males and females,Lipid,2014,,,
Hexadecanedioate,public,Shin,Metabolites,NA,711,1,NA,NA,NA,2545172,24816252,European,1,6887,0.238465225,log10 units,Males and females,Lipid,2014,,,
Dihomo-linolenate (20:3n3 or n6),public,Shin,Metabolites,NA,712,1,NA,NA,NA,2545634,24816252,European,1,7805,0.137690928,log10 units,Males and females,Fatty acid,2014,,,
X-13859,public,Shin,Metabolites,NA,713,1,NA,NA,NA,2545617,24816252,European,1,7002,0.137078193,log10 units,Males and females,Unknown metabolite,2014,,,
Threitol,public,Shin,Metabolites,NA,714,1,NA,NA,NA,2545964,24816252,European,1,7381,0.198696074,log10 units,Males and females,Carbohydrate,2014,,,
X-14056,public,Shin,Metabolites,NA,715,1,NA,NA,NA,2545667,24816252,European,1,7259,0.201308411,log10 units,Males and females,Unknown metabolite,2014,,,
X-14057,public,Shin,Metabolites,NA,716,1,NA,NA,NA,2545375,24816252,European,1,4716,0.212274701,log10 units,Males and females,Unknown metabolite,2014,,,
X-14086,public,Shin,Metabolites,NA,717,1,NA,NA,NA,2545870,24816252,European,1,2686,0.195263633,log10 units,Males and females,Unknown metabolite,2014,,,
P-cresol sulfate,public,Shin,Metabolites,NA,718,1,NA,NA,NA,2545765,24816252,European,1,7758,0.312139769,log10 units,Males and females,Amino acid,2014,,,
X-14189--leucylalanine,public,Shin,Metabolites,NA,719,1,NA,NA,NA,2545768,24816252,European,1,2745,0.218576435,log10 units,Males and females,Peptide,2014,,,
X-14205--alpha-glutamyltyrosine,public,Shin,Metabolites,NA,720,1,NA,NA,NA,2545647,24816252,European,1,1789,0.170217432,log10 units,Males and females,Peptide,2014,,,
X-14208--phenylalanylserine,public,Shin,Metabolites,NA,721,1,NA,NA,NA,2545429,24816252,European,1,2455,0.211832291,log10 units,Males and females,Peptide,2014,,,
X-14304--leucylalanine,public,Shin,Metabolites,NA,722,1,NA,NA,NA,2546105,24816252,European,1,2434,0.211771786,log10 units,Males and females,Peptide,2014,,,
X-14374,public,Shin,Metabolites,NA,723,1,NA,NA,NA,2545862,24816252,European,1,7627,0.168272593,log10 units,Males and females,Unknown metabolite,2014,,,
X-14450--phenylalanylleucine,public,Shin,Metabolites,NA,724,1,NA,NA,NA,2545121,24816252,European,1,2555,0.229838732,log10 units,Males and females,Peptide,2014,,,
X-14473,public,Shin,Metabolites,NA,725,1,NA,NA,NA,2545673,24816252,European,1,6884,0.257526798,log10 units,Males and females,Unknown metabolite,2014,,,
X-14541,public,Shin,Metabolites,NA,726,1,NA,NA,NA,2545788,24816252,European,1,1941,0.205805422,log10 units,Males and females,Unknown metabolite,2014,,,
X-14588,public,Shin,Metabolites,NA,727,1,NA,NA,NA,2545654,24816252,European,1,7777,0.059055592,log10 units,Males and females,Unknown metabolite,2014,,,
X-14625,public,Shin,Metabolites,NA,728,1,NA,NA,NA,2545685,24816252,European,1,7511,0.119334769,log10 units,Males and females,Unknown metabolite,2014,,,
X-14626,public,Shin,Metabolites,NA,729,1,NA,NA,NA,2545892,24816252,European,1,6904,0.170830263,log10 units,Males and females,Unknown metabolite,2014,,,
